district,zone_name,latitude,longitude,street_lamp_count_500m,primary_road_count_500m,secondary_road_count_500m,tertiary_road_count_500m,residential_road_count_500m,service_road_count_500m,footway_path_count_500m,pedestrian_road_count_500m,unclassified_road_count_500m,bus_station_count_500m,rail_station_count_500m,market_count_500m,shop_count_500m,school_college_count_500m,hospital_count_500m,police_count_3km,nearest_police_distance_km,light_score,road_quality,alley_density,transport_hub_score,public_place_density,police_distance_risk,environmental_risk_score
Kushtia,Kushtia Medical College,23.903692,89.121792,0,0,1,0,33,0,3,0,2,1,0,1,3,6,2,3,0.263,0.45,0.392,0.25,0.2,0.433,0.088,36.5
Madaripur,Madaripur Govt College,23.169056,90.20366,0,3,0,0,26,1,0,0,0,0,0,0,1,4,2,0,3.0,0.45,0.475,0.05,0.0,0.233,1.0,33.38
Faridpur,Goalchamot,23.5936,89.8201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Narail,Lakshmipasha,23.15509,89.49515,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,2.142,0.45,0.392,0.0,0.0,0.033,0.714,27.77
Narayanganj,Bandar Narayanganj,23.62387,90.53169,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,2,2.372,0.45,0.392,0.0,0.0,0.0,0.791,28.03
Bagerhat,Bagerhat Sadar,22.65657,89.79123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Bagerhat,Khan Jahan Ali Mazar,22.65657,89.79123,0,2,3,26,2,0,1,0,1,1,1,1,9,5,0,3,0.329,0.45,0.85,0.1,0.4,0.533,0.11,32.35
Bagerhat,Sixty Dome Mosque,22.674501,89.741822,0,0,0,3,1,11,0,2,7,0,0,0,0,0,0,0,3.0,0.45,0.475,1.0,0.0,0.0,1.0,48.88
Bandarban,Balaghata,22.19534,92.21946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Bandarban,Bandarban Bus Station,22.188414,92.214036,0,1,1,0,5,0,0,0,1,0,0,0,0,1,0,1,0.715,0.45,0.433,0.05,0.0,0.033,0.238,23.38
Bandarban,Bandarban Sadar,22.189482,92.226562,0,0,0,0,8,0,0,0,10,0,0,0,0,0,2,1,1.188,0.45,0.35,0.5,0.0,0.067,0.396,35.71
Barguna,Barguna Bus Stand,22.15672,90.11758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Barguna,Barguna General Hospital,22.156377,90.127931,0,1,0,4,26,20,1,0,17,1,0,0,1,3,1,2,0.582,0.45,0.558,1.0,0.2,0.167,0.194,46.06
Barguna,Barguna Govt College,22.156777,90.113826,0,2,0,0,60,2,0,0,9,0,0,0,8,3,0,2,0.812,0.45,0.433,0.55,0.0,0.367,0.271,38.71
Barguna,Barguna Launch Ghat,22.160263,90.116997,0,5,0,8,57,0,0,0,15,0,0,1,28,5,0,2,1.136,0.45,0.85,0.75,0.0,1.0,0.379,47.04
Barguna,Barguna Sadar,22.15672,90.11758,0,2,0,2,66,0,0,0,13,0,0,1,24,6,0,2,1.193,0.45,0.517,0.65,0.0,1.0,0.398,50.23
Barishal,Barishal Launch Ghat,22.70497,90.37013,0,7,7,5,74,14,3,0,7,0,0,0,12,5,5,4,0.248,0.45,0.85,1.0,0.0,0.733,0.083,45.08
Barishal,Barishal Sadar Road,22.70497,90.37013,0,7,7,5,74,14,3,0,7,0,0,0,12,5,5,4,0.248,0.45,0.85,1.0,0.0,0.733,0.083,45.08
Barishal,Chowmatha,22.70497,90.37013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Barishal,Port Road Barishal,22.70497,90.37013,0,7,7,5,74,14,3,0,7,0,0,0,12,5,5,4,0.248,0.45,0.85,1.0,0.0,0.733,0.083,45.08
Bhola,Bhola Bus Stand,22.68759,90.64403,0,3,0,8,8,2,1,1,19,0,0,0,0,2,0,2,0.151,0.45,0.808,1.0,0.0,0.067,0.05,35.38
Bhola,Bhola Govt College,22.67121,90.655989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Bhola,Bhola Launch Terminal,22.678577,90.606713,0,0,2,2,1,1,0,0,2,0,0,0,0,0,0,1,2.88,0.45,0.517,0.15,0.0,0.0,0.96,30.85
Bhola,Bhola Sadar,22.687944,90.645452,0,3,0,7,9,2,1,1,19,0,0,0,0,1,0,2,0.0,0.45,0.767,1.0,0.0,0.033,0.0,35.0
Bhola,Bhola Sadar Hospital,22.687944,90.645452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Bogura,Bogra Cantonment,24.85098,89.37108,0,1,3,10,44,7,25,0,7,4,1,12,148,3,2,3,1.671,0.45,0.85,1.0,1.0,1.0,0.557,73.82
Bogura,Bogura Railway Station,24.847986,89.367178,0,0,2,4,35,8,27,0,10,3,2,3,57,4,2,4,1.678,0.45,0.6,1.0,1.0,1.0,0.559,77.59
Bogura,Satmatha,25.733988,89.286492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Bogura,Sherpur Road Bogura,24.85098,89.37108,0,1,3,10,44,7,25,0,7,4,1,12,148,3,2,3,1.671,0.45,0.85,1.0,1.0,1.0,0.557,73.82
Brahmanbaria,Brahmanbaria Bus Terminal,23.952855,91.116351,0,0,0,1,11,1,0,0,2,1,0,0,0,0,0,0,3.0,0.45,0.392,0.15,0.2,0.0,1.0,37.12
Brahmanbaria,Brahmanbaria Medical College,24.001991,91.110799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Brahmanbaria,Brahmanbaria Sadar,23.97464,91.11228,0,0,0,0,46,0,3,0,15,0,0,0,1,1,1,0,3.0,0.45,0.35,0.9,0.0,0.1,1.0,50.25
Brahmanbaria,T.A. Road Brahmanbaria,23.97464,91.11228,0,0,0,0,46,0,3,0,15,0,0,0,1,1,1,0,3.0,0.45,0.35,0.9,0.0,0.1,1.0,50.25
Meherpur,Meherpur Bus Terminal,23.769361,88.636023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Chandpur,Chandpur Govt College,23.228984,90.659801,0,4,1,4,19,1,0,1,1,0,0,1,0,6,0,0,3.0,0.45,0.725,0.15,0.0,0.267,1.0,32.12
Chandpur,Chandpur Launch Terminal,23.235623,90.664701,0,2,0,3,19,2,1,0,1,2,0,0,1,1,0,0,3.0,0.45,0.558,0.2,0.4,0.067,1.0,40.62
Chandpur,Chandpur Sadar,23.265305,90.753564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Chapai Nawabganj,Baroghoria,24.602554,88.251753,0,0,0,3,9,0,0,0,1,0,0,2,8,0,0,3,1.747,0.45,0.475,0.05,0.0,0.4,0.582,31.7
Chapai Nawabganj,Chapai Nawabganj Railway Station,24.588301,88.285887,0,0,0,2,3,0,0,0,1,2,0,0,1,2,1,3,1.196,0.45,0.433,0.05,0.4,0.133,0.399,34.49
Chapai Nawabganj,Chapai Nawabganj Sadar,24.59895,88.28339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Chapai Nawabganj,Nawabganj Govt College,23.664049,90.158367,0,1,0,2,16,0,0,0,4,0,0,2,1,4,0,0,3.0,0.45,0.475,0.2,0.0,0.3,1.0,37.38
Chuadanga,Chuadanga Bus Terminal,23.5452,89.162957,0,5,0,0,11,1,0,0,4,0,0,4,14,0,0,0,3.0,0.45,0.558,0.25,0.0,0.733,1.0,43.62
Chuadanga,Chuadanga Govt College,23.643244,88.848241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Chuadanga,Chuadanga Railway Station,23.63967,88.85644,0,4,0,1,11,0,0,0,9,0,1,0,0,0,0,1,1.357,0.45,0.558,0.45,0.2,0.0,0.452,35.15
Chuadanga,Chuadanga Sadar,23.64299,88.85291,0,4,0,0,26,0,0,0,10,0,0,0,0,0,0,1,0.891,0.45,0.517,0.5,0.0,0.0,0.297,31.22
Chuadanga,Chuadanga Sadar Hospital,23.63514,88.847235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Cox's Bazar,Cox's Bazar Bus Terminal,21.352809,92.078364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Cox's Bazar,Cox's Bazar Sadar Hospital,21.352809,92.078364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Cox's Bazar,Kolatoli,21.420776,91.983256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Cox's Bazar,Laboni Point,21.428586,91.97349,0,0,0,1,22,19,14,1,6,0,0,7,2,0,0,4,0.168,0.45,0.392,1.0,0.0,0.533,0.056,48.69
Cox's Bazar,Sugandha Point,22.365432,91.830267,0,10,0,1,100,7,1,1,2,0,0,0,22,11,18,14,0.499,0.45,0.808,0.55,0.0,1.0,0.166,41.54
Cumilla,Cumilla Cantonment,23.4417,91.00987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Cumilla,Cumilla Medical College,23.770271,90.36068,0,0,2,0,174,0,1,0,0,0,0,1,169,7,10,23,0.167,0.45,0.433,0.05,0.0,1.0,0.056,36.06
Cumilla,Kandirpar,23.46186,91.18504,0,9,2,1,34,9,1,0,9,0,0,2,1,5,0,2,1.386,0.45,0.85,0.95,0.0,0.333,0.462,41.87
Cumilla,Tomchom Bridge,23.46186,91.18504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Dinajpur,Dinajpur Bus Terminal,25.644458,88.647967,0,2,0,6,28,0,2,0,5,2,0,0,1,2,0,1,1.29,0.45,0.683,0.35,0.4,0.1,0.43,36.55
Dinajpur,Dinajpur Railway Station,25.66448,88.58728,0,0,1,0,2,1,0,0,4,0,0,0,0,0,0,0,3.0,0.45,0.392,0.25,0.0,0.0,1.0,35.12
Dinajpur,Dinajpur Sadar,25.62745,88.63779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Dinajpur,Lily Mor,25.62745,88.63779,0,7,2,7,37,0,5,0,1,0,0,0,4,7,3,1,0.984,0.45,0.85,0.3,0.0,0.467,0.328,29.53
Faridpur,Faridpur Bus Stand,23.60612,89.84064,40,0,0,3,17,0,0,0,0,0,0,3,7,2,8,1,0.69,0.9,0.475,0.0,0.0,0.767,0.23,23.68
Faridpur,Faridpur Medical College,23.588129,89.835258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Faridpur,Faridpur Railway Station,23.537151,89.65414,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3.0,0.45,0.35,0.15,0.0,0.0,1.0,33.75
Faridpur,Faridpur Sadar,23.60612,89.84064,40,0,0,3,17,0,0,0,0,0,0,3,7,2,8,1,0.69,0.9,0.475,0.0,0.0,0.767,0.23,23.68
Jashore,Jashore Bus Terminal,23.1812,89.2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Gaibandha,Gaibandha Railway Station,25.33275,89.54211,0,2,2,5,15,0,0,0,2,1,1,0,0,1,0,0,3.0,0.45,0.725,0.1,0.4,0.033,1.0,35.62
Jashore,Jashore Railway Station,23.1547,89.2082,0,0,0,3,70,0,6,0,4,1,1,1,4,2,1,3,0.94,0.45,0.475,0.5,0.4,0.3,0.313,44.51
Feni,Feni Mohipal,23.0109,91.3791,0,0,2,0,39,3,3,0,7,1,0,2,3,2,1,5,0.668,0.45,0.433,0.65,0.2,0.333,0.223,43.73
Feni,Feni Sadar,23.0159,91.3976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Moulvibazar,Moulvibazar 250 Bed Hospital,24.4735,91.7672,0,0,0,1,19,0,0,0,1,0,0,0,4,0,1,2,0.682,0.45,0.392,0.05,0.0,0.167,0.227,25.9
Dhaka,Banani,23.7937,90.4043,13,0,5,7,79,2,11,0,4,3,2,1,99,7,2,17,0.383,0.743,0.85,0.85,1.0,1.0,0.128,60.68
Feni,Feni General Hospital,23.029805,91.405948,0,0,6,0,25,0,0,0,1,0,0,0,0,0,2,2,2.145,0.45,0.6,0.05,0.0,0.067,0.715,26.15
Feni,Feni Railway Station,23.001672,91.391052,0,0,0,0,44,0,0,0,1,0,0,0,0,0,0,5,0.001,0.45,0.35,0.05,0.0,0.0,0.0,21.75
Gaibandha,Gaibandha Govt College,25.320241,89.543865,0,0,1,0,22,0,19,0,0,0,0,0,0,2,0,0,3.0,0.45,0.392,0.95,0.0,0.067,1.0,50.12
Gaibandha,Gaibandha Sadar,25.3293,89.5438,0,2,2,6,11,0,0,0,2,1,1,0,0,3,0,0,3.0,0.45,0.767,0.1,0.4,0.1,1.0,36.0
Gaibandha,Gaibandha Sadar Hospital,25.327255,89.537638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Gazipur,Board Bazar,24.126097,90.472114,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3.0,0.45,0.35,0.05,0.0,0.0,1.0,31.75
Gazipur,Gazipur Chowrasta,24.126097,90.472114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Gazipur,Joydebpur Railway Station,24.00258,90.420102,0,4,4,3,16,2,0,0,0,0,0,0,4,0,0,3,0.0,0.45,0.808,0.1,0.0,0.133,0.0,17.88
Gazipur,Konabari,24.126097,90.472114,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3.0,0.45,0.35,0.05,0.0,0.0,1.0,31.75
Gazipur,Tongi Station Road,24.126097,90.472114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Gopalganj,Gopalganj General Hospital,22.998509,89.819274,0,1,1,2,2,6,0,0,6,0,0,0,1,0,2,0,3.0,0.45,0.517,0.6,0.0,0.1,1.0,41.75
Gopalganj,Gopalganj Launch Ghat,23.01018,89.83278,0,1,0,1,30,0,0,0,4,0,0,0,0,1,0,2,2.096,0.45,0.433,0.2,0.0,0.033,0.699,30.99
Gopalganj,Gopalganj Sadar,23.01018,89.83278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Habiganj,Habiganj Bus Stand,24.38044,91.413,0,1,0,4,29,0,0,0,4,0,0,0,2,1,0,2,0.855,0.45,0.558,0.2,0.0,0.1,0.285,25.98
Habiganj,Habiganj Govt High School Road,24.38044,91.413,0,1,0,4,29,0,0,0,4,0,0,0,2,1,0,2,0.855,0.45,0.558,0.2,0.0,0.1,0.285,25.98
Habiganj,Habiganj Sadar,24.38044,91.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Habiganj,Habiganj Sadar Hospital,24.373729,91.41607,0,14,0,5,30,2,0,0,1,0,0,0,0,1,6,2,0.058,0.45,0.85,0.15,0.0,0.233,0.019,19.94
Habiganj,Shaistaganj Railway Station,24.278364,91.450383,0,2,0,2,4,0,0,0,11,1,1,0,0,0,0,0,3.0,0.45,0.517,0.55,0.4,0.0,1.0,47.25
Jamalpur,Jamalpur Bus Terminal,24.904799,89.950009,0,1,0,0,2,0,0,0,4,2,0,0,16,1,2,0,3.0,0.45,0.392,0.2,0.4,0.633,1.0,51.62
Jamalpur,Jamalpur General Hospital,24.933192,89.942218,0,3,2,0,5,0,3,0,2,0,0,0,18,8,6,0,3.0,0.45,0.558,0.25,0.0,1.0,1.0,47.62
Jamalpur,Jamalpur Govt College,24.956382,89.850674,0,1,0,1,2,0,2,0,3,0,0,0,1,1,0,0,3.0,0.45,0.433,0.25,0.0,0.067,1.0,35.5
Jamalpur,Jamalpur Railway Station,24.904799,89.950009,0,1,0,0,2,0,0,0,4,2,0,0,16,1,2,0,3.0,0.45,0.392,0.2,0.4,0.633,1.0,51.62
Jamalpur,Jamalpur Sadar,24.91965,89.94812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Jashore,Chanchra,23.168306,89.210408,0,0,0,9,95,0,7,0,30,0,0,0,47,4,15,3,0.463,0.45,0.725,1.0,0.0,1.0,0.154,51.67
Jashore,Jashore Daratana,23.168306,89.210408,0,0,0,9,95,0,7,0,30,0,0,0,47,4,15,3,0.463,0.45,0.725,1.0,0.0,1.0,0.154,51.67
Narail,Narail Sadar Hospital,23.172284,89.499126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.45,0.35,0.0,0.0,0.0,1.0,30.75
Panchagarh,Atwari,26.30832,88.39939,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3.0,0.45,0.35,0.5,0.0,0.0,1.0,40.75
Kurigram,Kurigram Railway Station,25.80758,89.62135,0,0,2,7,10,0,1,0,7,0,1,0,4,1,0,0,3.0,0.45,0.725,0.4,0.2,0.167,1.0,39.62
Jhalokati,Jhalokati Bus Stand,22.559352,90.139273,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.254,0.45,0.392,0.0,0.0,0.033,0.418,24.8
Jhalokati,Jhalokati Launch Ghat,22.633647,90.193738,0,0,1,0,6,0,0,0,9,1,0,0,0,0,0,1,0.707,0.45,0.392,0.45,0.2,0.0,0.236,35.48
Jhalokati,Jhalokati Sadar,22.6406,90.19868,0,0,3,0,26,5,1,0,12,1,0,0,1,7,0,1,0.219,0.45,0.475,0.9,0.2,0.267,0.073,45.6
